name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
109 Psc b,Confirmed,5.743,0.289,1.011,6.383,0.078,0.078,1.152,
112 Psc b,Confirmed,,0.005,0.004,0.033,0.005,0.004,,
112 Psc c,Confirmed,9.866,1.781,3.19,,,,,
11 UMi b,Confirmed,,1.1,1.1,11.0873,1.1,1.1,,
14 And Ab,Confirmed,,0.23,0.23,4.684,0.23,0.23,,
14 Her b,Confirmed,8.9,1.7,1.3,4.95,,,,
14 Her c,Confirmed,7.9,1.2,1.6,7.12,,,,
16 Cyg Bb,Confirmed,,0.08,0.08,1.64,0.08,0.08,,
18 Del Ab,Confirmed,,0.36,0.36,10.3,0.36,0.36,,
23 Lib b,Confirmed,,0.02,0.02,1.59,0.02,0.02,,
23 Lib c,Confirmed,,0.03,0.03,0.82,0.03,0.03,,
24 Boo b,Confirmed,,0.11,0.11,0.91,0.11,0.11,,
24 Sex b,Confirmed,,0.11,0.11,1.84,0.11,0.11,,
24 Sex c,Confirmed,,0.2,0.2,1.52,0.2,0.2,,
2M 1253+2734 b,Confirmed,,0.2,1.8,8.3,0.2,1.8,,
2M1510 (AB)b,Confirmed,0.031,,,,,,,
2MASS J0437+2651 b,Confirmed,4.0,,,,,,,
2MASS J0558-4501 b,Confirmed,9.0,3.0,3.0,,,,,
2MASS J1155-7919 b,Confirmed,10.0,,,,,,,
2MASS J1252+2735 b,Confirmed,,0.64,0.21,6.88,0.64,0.21,,
2MASS J1258+2630 b,Confirmed,,0.18,0.31,3.4,0.18,0.31,,
2MASS J2236+4751 b,Confirmed,12.5,1.5,1.5,,,,,
38 Vir b,Confirmed,,0.5,0.5,4.51,0.5,0.5,,
41 Com Ab,Confirmed,,1.0,1.0,6.3,1.0,1.0,,
44 Uma b,Confirmed,,0.85,0.2,12.11,0.85,0.2,,
47 UMa b,Confirmed,,0.06,0.07,2.53,0.06,0.07,,
47 UMa c,Confirmed,,0.073,0.066,0.54,0.073,0.066,,
47 UMa d,Confirmed,,0.48,0.29,1.64,0.48,0.29,,
51 Eri Ab,Confirmed,4.1,0.5,0.5,,,,1.11,0.13
51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3
54 Psc b,Confirmed,0.23,0.013,0.297,0.228,0.011,0.011,,
55 Cnc Ab,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,
55 Cnc Ac,Confirmed,,0.0078,0.0275,0.1784,0.0078,0.0275,,
55 Cnc Ad,Confirmed,,0.08,0.08,3.84,0.08,0.08,,
55 Cnc Ae,Confirmed,0.02703,0.00135,0.00135,,,,0.1737,0.00339
55 Cnc Af,Confirmed,,0.0093,0.0219,0.1479,0.0093,0.0219,,
61 Vir b,Confirmed,,0.0016,0.0016,0.016,0.0016,0.0016,,
61 Vir c,Confirmed,,0.0035,0.0035,0.0573,0.0035,0.0035,,
61 Vir d,Confirmed,,0.008,0.008,0.072,0.008,0.008,,
6 Lyn b,Confirmed,,0.077,0.077,2.01,0.077,0.077,,
70 Vir Ab,Confirmed,,,,6.6,,,,
75 Cet Ab,Confirmed,,0.09,0.07,2.48,0.09,0.07,,
75 Cet Ac,Confirmed,,0.09,0.09,0.91,0.09,0.09,,
79 Cet Ab,Confirmed,,0.03,0.03,0.215,0.03,0.03,,
81 Cet b,Confirmed,,,,5.3,,,,
82 Eri b,Confirmed,,0.00053,0.00053,0.00676,0.00053,0.00053,,
